plateID,well,cmpdname,CONCuM,cmpdnum,VOLuL
plate_4,J04,comp12,8,comp12_8,
plate_4,J05,comp11,1,comp11_1,
plate_4,J06,comp3,1,comp3_1,
plate_4,J07,comp31,6,comp31_6,
plate_4,J08,comp6,1,comp6_1,
plate_4,J09,comp13,8,comp13_8,
plate_4,J10,comp23,5,comp23_5,
plate_4,J11,comp4,4,comp4_4,
plate_4,J12,ctrl7,1,ctrl7_1,
plate_4,J13,comp20,1,comp20_1,
plate_4,J14,comp30,1,comp30_1,
plate_4,J15,comp26,2,comp26_2,
plate_4,J16,ctrl4,1,ctrl4_1,
plate_4,J17,comp16,4,comp16_4,
plate_4,J18,comp9,7,comp9_7,
plate_4,J19,comp38,8,comp38_8,
plate_4,J20,comp24,1,comp24_1,
plate_4,J21,comp17,2,comp17_2,
plate_4,J22,DMSO,0,DMSO_0,
plate_4,J23,comp5,1,comp5_1,
plate_4,J24,comp8,5,comp8_5,
plate_4,K01,comp34,5,comp34_5,
plate_4,K02,comp28,5,comp28_5,
plate_4,K03,comp25,6,comp25_6,
plate_4,K04,ctrl6,1,ctrl6_1,
plate_4,K05,comp40,1,comp40_1,
plate_4,K06,comp36,5,comp36_5,
plate_4,K07,comp39,5,comp39_5,
plate_4,K08,comp19,8,comp19_8,
plate_4,K09,comp37,5,comp37_5,
plate_4,K10,comp17,1,comp17_1,
plate_4,K11,DMSO,0,DMSO_0,
plate_4,K12,comp6,8,comp6_8,
plate_4,K13,ctrl6,1,ctrl6_1,
plate_4,K14,comp35,1,comp35_1,
plate_4,K15,comp12,4,comp12_4,
plate_4,K16,comp18,4,comp18_4,
plate_4,K17,comp23,7,comp23_7,
plate_4,K18,comp30,6,comp30_6,
plate_4,K19,comp15,8,comp15_8,
plate_4,K20,DMSO,0,DMSO_0,
plate_4,K21,comp11,3,comp11_3,
plate_4,K22,comp8,6,comp8_6,
plate_4,K23,comp38,2,comp38_2,
plate_4,K24,comp33,5,comp33_5,
plate_4,L01,comp17,5,comp17_5,
plate_4,L02,comp21,7,comp21_7,
plate_4,L03,comp23,3,comp23_3,
plate_4,L04,comp22,1,comp22_1,
plate_4,L05,comp24,2,comp24_2,
plate_4,L06,comp15,1,comp15_1,
plate_4,L07,DMSO,0,DMSO_0,
plate_4,L08,comp25,2,comp25_2,
plate_4,L09,DMSO,0,DMSO_0,
plate_4,L10,comp16,6,comp16_6,
plate_4,L11,comp27,5,comp27_5,
plate_4,L12,comp29,8,comp29_8,
plate_4,L13,comp5,8,comp5_8,
