plateID,well,cmpdname,CONCuM,cmpdnum,VOLuL
plate_3,A01,comp15,8,comp15_8,
plate_3,A02,comp35,7,comp35_7,
plate_3,A03,comp38,7,comp38_7,
plate_3,A04,comp25,3,comp25_3,
plate_3,A05,ctrl7,1,ctrl7_1,
plate_3,A06,comp30,6,comp30_6,
plate_3,A07,comp18,5,comp18_5,
plate_3,A08,ctrl6,1,ctrl6_1,
plate_3,A09,comp16,7,comp16_7,
plate_3,A10,comp2,7,comp2_7,
plate_3,A11,comp9,2,comp9_2,
plate_3,A12,comp22,1,comp22_1,
plate_3,A13,comp8,3,comp8_3,
plate_3,A14,comp37,2,comp37_2,
plate_3,A15,comp19,7,comp19_7,
plate_3,A16,comp39,7,comp39_7,
plate_3,A17,comp24,6,comp24_6,
plate_3,A18,DMSO,0,DMSO_0,
plate_3,A19,comp23,6,comp23_6,
plate_3,A20,comp6,6,comp6_6,
plate_3,A21,comp4,5,comp4_5,
plate_3,A22,comp13,4,comp13_4,
plate_3,A23,comp21,2,comp21_2,
plate_3,A24,DMSO,0,DMSO_0,
plate_3,B01,comp28,4,comp28_4,
plate_3,B02,comp22,7,comp22_7,
plate_3,B03,ctrl2,1,ctrl2_1,
plate_3,B04,comp12,2,comp12_2,
plate_3,B05,comp14,8,comp14_8,
plate_3,B06,comp35,1,comp35_1,
plate_3,B07,comp23,1,comp23_1,
plate_3,B08,comp33,8,comp33_8,
plate_3,B09,comp29,5,comp29_5,
plate_3,B10,comp3,7,comp3_7,
plate_3,B11,comp37,6,comp37_6,
plate_3,B12,DMSO,0,DMSO_0,
plate_3,B13,comp17,1,comp17_1,
plate_3,B14,comp15,6,comp15_6,
plate_3,B15,comp34,1,comp34_1,
plate_3,B16,comp40,7,comp40_7,
plate_3,B17,ctrl5,1,ctrl5_1,
plate_3,B18,comp39,6,comp39_6,
plate_3,B19,comp19,4,comp19_4,
plate_3,B20,comp27,8,comp27_8,
plate_3,B21,DMSO,0,DMSO_0,
plate_3,B22,comp2,2,comp2_2,
plate_3,B23,comp18,3,comp18_3,
plate_3,B24,comp11,6,comp11_6,
plate_3,C01,comp24,5,comp24_5,
plate_3,C02,comp3,4,comp3_4,
plate_3,C03,comp21,8,comp21_8,
plate_3,C04,comp20,5,comp20_5,
plate_3,C05,comp36,1,comp36_1,
plate_3,C06,ctrl3,1,ctrl3_1,
plate_3,C07,comp14,7,comp14_7,
plate_3,C08,comp28,3,comp28_3,
plate_3,C09,comp27,5,comp27_5,
plate_3,C10,DMSO,0,DMSO_0,
plate_3,C11,comp29,6,comp29_6,
plate_3,C12,comp34,3,comp34_3,
plate_3,C13,ctrl4,1,ctrl4_1,
plate_3,C14,comp39,4,comp39_4,
plate_3,C15,comp7,5,comp7_5,
plate_3,C16,comp35,8,comp35_8,
plate_3,C17,comp32,4,comp32_4,
plate_3,C18,comp5,3,comp5_3,
plate_3,C19,comp33,2,comp33_2,
plate_3,C20,comp4,7,comp4_7,
plate_3,C21,comp17,7,comp17_7,
plate_3,C22,comp26,2,comp26_2,
plate_3,C23,DMSO,0,DMSO_0,
plate_3,C24,comp31,7,comp31_7,
plate_3,D01,comp14,5,comp14_5,
plate_3,D02,comp26,7,comp26_7,
plate_3,D03,comp30,2,comp30_2,
plate_3,D04,comp32,2,comp32_2,
plate_3,D05,ctrl2,1,ctrl2_1,
plate_3,D06,comp23,2,comp23_2,
plate_3,D07,comp7,2,comp7_2,
plate_3,D08,comp11,4,comp11_4,
plate_3,D09,ctrl1,1,ctrl1_1,
plate_3,D10,comp16,4,comp16_4,
plate_3,D11,comp31,4,comp31_4,
plate_3,D12,comp40,3,comp40_3,
plate_3,D13,comp18,2,comp18_2,
plate_3,D14,comp12,1,comp12_1,
plate_3,D15,comp6,4,comp6_4,
plate_3,D16,DMSO,0,DMSO_0,
plate_3,D17,comp36,6,comp36_6,
plate_3,D18,comp21,5,comp21_5,
plate_3,D19,DMSO,0,DMSO_0,
plate_3,D20,comp24,2,comp24_2,
plate_3,D21,comp27,2,comp27_2,
plate_3,D22,comp35,2,comp35_2,
plate_3,D23,comp22,5,comp22_5,
plate_3,D24,comp10,5,comp10_5,
plate_3,E01,ctrl3,1,ctrl3_1,
plate_3,E02,comp8,4,comp8_4,
plate_3,E03,comp33,4,comp33_4,
plate_3,E04,comp7,3,comp7_3,
plate_3,E05,comp18,4,comp18_4,
plate_3,E06,comp6,8,comp6_8,
plate_3,E07,comp19,6,comp19_6,
plate_3,E08,comp4,8,comp4_8,
plate_3,E09,comp20,2,comp20_2,
plate_3,E10,comp34,6,comp34_6,
plate_3,E11,DMSO,0,DMSO_0,
plate_3,E12,comp37,7,comp37_7,
plate_3,E13,comp11,5,comp11_5,
plate_3,E14,comp9,4,comp9_4,
plate_3,E15,ctrl1,1,ctrl1_1,
plate_3,E16,comp16,2,comp16_2,
plate_3,E17,comp23,5,comp23_5,
plate_3,E18,comp30,5,comp30_5,
plate_3,E19,comp10,1,comp10_1,
plate_3,E20,comp1,3,comp1_3,
plate_3,E21,comp38,4,comp38_4,
plate_3,E22,DMSO,0,DMSO_0,
plate_3,E23,comp17,6,comp17_6,
plate_3,E24,comp2,4,comp2_4,
plate_3,F01,comp4,6,comp4_6,
plate_3,F02,comp20,8,comp20_8,
plate_3,F03,comp5,5,comp5_5,
plate_3,F04,DMSO,0,DMSO_0,
plate_3,F05,comp29,3,comp29_3,
plate_3,F06,comp13,5,comp13_5,
plate_3,F07,comp25,1,comp25_1,
plate_3,F08,DMSO,0,DMSO_0,
plate_3,F09,comp30,8,comp30_8,
plate_3,F10,comp39,8,comp39_8,
plate_3,F11,comp1,4,comp1_4,
plate_3,F12,comp10,8,comp10_8,
plate_3,F13,comp24,8,comp24_8,
plate_3,F14,comp31,6,comp31_6,
plate_3,F15,comp12,6,comp12_6,
plate_3,F16,ctrl3,1,ctrl3_1,
plate_3,F17,comp3,8,comp3_8,
plate_3,F18,comp38,8,comp38_8,
plate_3,F19,comp11,7,comp11_7,
plate_3,F20,ctrl7,1,ctrl7_1,
plate_3,F21,comp22,8,comp22_8,
plate_3,F22,comp14,1,comp14_1,
plate_3,F23,comp19,1,comp19_1,
plate_3,F24,comp37,5,comp37_5,
plate_3,G01,comp10,3,comp10_3,
plate_3,G02,comp2,1,comp2_1,
plate_3,G03,comp36,7,comp36_7,
plate_3,G04,comp40,5,comp40_5,
plate_3,G05,comp26,5,comp26_5,
plate_3,G06,ctrl5,1,ctrl5_1,
plate_3,G07,comp38,2,comp38_2,
plate_3,G08,comp27,1,comp27_1,
plate_3,G09,comp13,7,comp13_7,
plate_3,G10,comp8,8,comp8_8,
plate_3,G11,DMSO,0,DMSO_0,
plate_3,G12,comp32,7,comp32_7,
plate_3,G13,DMSO,0,DMSO_0,
plate_3,G14,comp28,1,comp28_1,
plate_3,G15,comp21,1,comp21_1,
plate_3,G16,comp17,5,comp17_5,
plate_3,G17,comp25,4,comp25_4,
plate_3,G18,comp29,7,comp29_7,
plate_3,G19,comp5,1,comp5_1,
plate_3,G20,comp9,3,comp9_3,
plate_3,G21,comp1,2,comp1_2,
plate_3,G22,ctrl4,1,ctrl4_1,
plate_3,G23,comp15,3,comp15_3,
plate_3,G24,comp3,5,comp3_5,
plate_3,H01,comp25,6,comp25_6,
plate_3,H02,DMSO,0,DMSO_0,
plate_3,H03,comp16,6,comp16_6,
plate_3,H04,comp28,7,comp28_7,
plate_3,H05,comp1,6,comp1_6,
plate_3,H06,comp15,7,comp15_7,
plate_3,H07,DMSO,0,DMSO_0,
plate_3,H08,comp40,8,comp40_8,
plate_3,H09,comp5,6,comp5_6,
plate_3,H10,comp31,2,comp31_2,
plate_3,H11,comp36,2,comp36_2,
plate_3,H12,comp20,6,comp20_6,
plate_3,H13,comp7,1,comp7_1,
plate_3,H14,ctrl6,1,ctrl6_1,
plate_3,H15,comp32,5,comp32_5,
plate_3,H16,comp8,6,comp8_6,
plate_3,H17,comp9,5,comp9_5,
plate_3,H18,comp13,6,comp13_6,
plate_3,H19,comp12,8,comp12_8,
plate_3,H20,ctrl8,1,ctrl8_1,
plate_3,H21,comp26,1,comp26_1,
plate_3,H22,comp6,3,comp6_3,
plate_3,H23,comp33,5,comp33_5,
plate_3,H24,comp34,4,comp34_4,
plate_3,I01,comp35,5,comp35_5,
plate_3,I02,comp13,3,comp13_3,
plate_3,I03,comp32,3,comp32_3,
plate_3,I04,comp38,6,comp38_6,
plate_3,I05,comp21,4,comp21_4,
plate_3,I06,comp28,8,comp28_8,
plate_3,I07,comp27,7,comp27_7,
plate_3,I08,comp24,3,comp24_3,
plate_3,I09,comp8,2,comp8_2,
plate_3,I10,ctrl6,1,ctrl6_1,
plate_3,I11,comp33,7,comp33_7,
plate_3,I12,ctrl6,1,ctrl6_1,
plate_3,I13,comp34,5,comp34_5,
plate_3,I14,comp16,5,comp16_5,
plate_3,I15,comp25,7,comp25_7,
plate_3,I16,comp23,3,comp23_3,
plate_3,I17,comp39,5,comp39_5,
plate_3,I18,comp2,6,comp2_6,
plate_3,I19,comp7,4,comp7_4,
plate_3,I20,comp11,2,comp11_2,
plate_3,I21,DMSO,0,DMSO_0,
plate_3,I22,comp20,4,comp20_4,
plate_3,I23,DMSO,0,DMSO_0,
plate_3,I24,comp40,6,comp40_6,
plate_3,J01,comp7,8,comp7_8,
plate_3,J02,ctrl7,1,ctrl7_1,
plate_3,J03,comp18,7,comp18_7,
plate_3,J04,ctrl2,1,ctrl2_1,
plate_3,J05,comp12,5,comp12_5,
plate_3,J06,comp38,3,comp38_3,
plate_3,J07,comp3,6,comp3_6,
plate_3,J08,comp31,5,comp31_5,
plate_3,J09,comp6,2,comp6_2,
plate_3,J10,comp23,7,comp23_7,
plate_3,J11,comp17,8,comp17_8,
plate_3,J12,comp24,7,comp24_7,
plate_3,J13,comp32,6,comp32_6,
plate_3,J14,DMSO,0,DMSO_0,
plate_3,J15,comp9,8,comp9_8,
plate_3,J16,comp30,7,comp30_7,
plate_3,J17,comp15,2,comp15_2,
plate_3,J18,comp4,3,comp4_3,
plate_3,J19,DMSO,0,DMSO_0,
plate_3,J20,comp36,5,comp36_5,
plate_3,J21,comp40,1,comp40_1,
plate_3,J22,comp37,4,comp37_4,
plate_3,J23,comp29,2,comp29_2,
plate_3,J24,comp20,7,comp20_7,
plate_3,K01,comp27,6,comp27_6,
plate_3,K02,comp23,8,comp23_8,
plate_3,K03,comp39,2,comp39_2,
plate_3,K04,comp35,6,comp35_6,
plate_3,K05,DMSO,0,DMSO_0,
plate_3,K06,comp5,4,comp5_4,
plate_3,K07,comp34,7,comp34_7,
plate_3,K08,comp7,7,comp7_7,
plate_3,K09,DMSO,0,DMSO_0,
plate_3,K10,comp37,1,comp37_1,
plate_3,K11,comp19,3,comp19_3,
plate_3,K12,comp9,1,comp9_1,
plate_3,K13,comp33,6,comp33_6,
plate_3,K14,comp13,1,comp13_1,
plate_3,K15,ctrl5,1,ctrl5_1,
plate_3,K16,comp1,1,comp1_1,
plate_3,K17,comp16,3,comp16_3,
plate_3,K18,comp20,1,comp20_1,
plate_3,K19,comp26,4,comp26_4,
plate_3,K20,comp3,1,comp3_1,
plate_3,K21,comp25,2,comp25_2,
plate_3,K22,comp10,6,comp10_6,
plate_3,K23,comp14,3,comp14_3,
plate_3,K24,ctrl8,1,ctrl8_1,
plate_3,L01,DMSO,0,DMSO_0,
plate_3,L02,comp9,7,comp9_7,
plate_3,L03,comp15,4,comp15_4,
plate_3,L04,ctrl3,1,ctrl3_1,
plate_3,L05,comp3,3,comp3_3,
plate_3,L06,comp22,4,comp22_4,
plate_3,L07,comp10,2,comp10_2,
plate_3,L08,comp39,3,comp39_3,
plate_3,L09,comp18,8,comp18_8,
plate_3,L10,comp12,7,comp12_7,
plate_3,L11,comp11,8,comp11_8,
plate_3,L12,comp14,6,comp14_6,
plate_3,L13,comp27,4,comp27_4,
plate_3,L14,comp30,3,comp30_3,
plate_3,L15,comp36,3,comp36_3,
plate_3,L16,ctrl5,1,ctrl5_1,
plate_3,L17,comp6,7,comp6_7,
plate_3,L18,comp8,1,comp8_1,
plate_3,L19,comp16,8,comp16_8,
plate_3,L20,DMSO,0,DMSO_0,
plate_3,L21,comp32,8,comp32_8,
plate_3,L22,comp21,6,comp21_6,
plate_3,L23,comp26,6,comp26_6,
plate_3,L24,comp28,6,comp28_6,
plate_3,M01,comp16,1,comp16_1,
plate_3,M02,comp11,3,comp11_3,
plate_3,M03,comp4,4,comp4_4,
plate_3,M04,comp26,8,comp26_8,
