Source Well,Dest Well,Volume,Compound
D03,I05,150,Cpd61
D04,H14,150,Cpd62
D05,F05,150,Cpd63
D06,E24,150,Cpd64
D07,D04,150,Cpd65
D08,E05,150,Cpd66
D09,H06,150,Cpd67
D10,G05,150,Cpd68
D11,M03,150,Cpd69
D12,O14,150,Cpd70
D13,D08,150,Cpd71
D14,I09,150,Cpd72
D15,C07,150,Cpd73
D16,D10,150,Cpd74
D17,P01,150,Cpd75
D18,H15,150,Cpd76
D19,N07,150,Cpd77
D20,O15,150,Cpd78
D21,B22,150,Cpd79
D22,D18,150,Cpd80
D23,M12,150,JUMP2_rep4
D24,D22,150,DMSO
E01,A11,150,JUMP3_rep1
E02,E04,150,DMSO
E03,P02,150,Cpd81
E04,H16,150,Cpd82
E05,L08,150,Cpd83
E06,L06,150,Cpd84
E07,C10,150,Cpd85
E08,G20,150,Cpd86
E09,N13,150,Cpd87
E10,H07,150,Cpd88
E11,E20,150,Cpd89
E12,G11,150,Cpd90
E13,P03,150,Cpd91
E14,D03,150,Cpd92
E15,H23,150,Cpd93
E16,A15,150,Cpd94
E17,C14,150,Cpd95
E18,I23,150,Cpd96
E19,N19,150,Cpd97
E20,J13,150,Cpd98
E21,K24,150,Cpd99
E22,G12,150,Cpd100
E23,K23,150,JUMP3_rep3
E24,E06,150,DMSO
F01,J04,150,JUMP3_rep2
F02,F12,150,DMSO
F03,L11,150,Cpd101
F04,J23,150,Cpd102
F05,L12,150,Cpd103
F06,B16,150,Cpd104
F07,L21,150,Cpd105
F08,B14,150,Cpd106
F09,B09,150,Cpd107
F10,O24,150,Cpd108
F11,I15,150,Cpd109
F12,N04,150,Cpd110
F13,M04,150,Cpd111
F14,P10,150,Cpd112
F15,J12,150,Cpd113
F16,F15,150,Cpd114
F17,E13,150,Cpd115
F18,N18,150,Cpd116
F19,P16,150,Cpd117
F20,O21,150,Cpd118
F21,L07,150,Cpd119
F22,N22,150,Cpd120
F23,N23,150,JUMP3_rep4
F24,F22,150,DMSO
G01,B10,150,JUMP4_rep1
G02,G09,150,DMSO
G03,B02,150,Cpd121
G04,P13,150,Cpd122
G05,N16,150,Cpd123
G06,J08,150,Cpd124
G07,N11,150,Cpd125
G08,C09,150,Cpd126
G09,B17,150,Cpd127
G10,M19,150,Cpd128
