Source Well,Dest Well,Volume,Compound
L15,H16,150,Cpd233
L16,H01,150,Cpd234
L17,B07,150,Cpd235
L18,B15,150,Cpd236
L19,O16,150,Cpd237
L20,M18,150,Cpd238
L21,B06,150,Cpd239
L22,F10,150,Cpd240
L23,K13,150,JUMP6_rep4
L24,L22,150,DMSO
M01,A08,150,JUMP7_rep1
M02,M06,150,DMSO
M03,G08,150,Cpd241
M04,C08,150,Cpd242
M05,A20,150,Cpd243
M06,N14,150,Cpd244
M07,M14,150,Cpd245
M08,K19,150,Cpd246
M09,H14,150,Cpd247
M10,L06,150,Cpd248
M11,C12,150,Cpd249
M12,C11,150,Cpd250
M13,K10,150,Cpd251
M14,J17,150,Cpd252
M15,P23,150,Cpd253
M16,I13,150,Cpd254
M17,H10,150,Cpd255
M18,L15,150,Cpd256
M19,B05,150,Cpd257
M20,C04,150,Cpd258
M21,M12,150,Cpd259
M22,P09,150,Cpd260
M23,G16,150,JUMP7_rep3
M24,M10,150,DMSO
N01,D08,150,JUMP7_rep2
N02,N12,150,DMSO
N03,D11,150,Cpd261
N04,G01,150,Cpd262
N05,P14,150,Cpd263
N06,G19,150,Cpd264
N07,D24,150,Cpd265
N08,J10,150,Cpd266
N09,A06,150,Cpd267
N10,I20,150,Cpd268
N11,L09,150,Cpd269
N12,G11,150,Cpd270
N13,D13,150,Cpd271
N14,L19,150,Cpd272
N15,F08,150,Cpd273
N16,B19,150,Cpd274
N17,E21,150,Cpd275
N18,G06,150,Cpd276
N19,P24,150,Cpd277
N20,P21,150,Cpd278
N21,E01,150,Cpd279
N22,C14,150,Cpd280
N23,J07,150,JUMP7_rep4
N24,N20,150,DMSO
O01,E22,150,JUMP8_rep1
O02,O01,150,DMSO
O03,K14,150,Cpd281
O04,F23,150,Cpd282
O05,J05,150,Cpd283
O06,K02,150,Cpd284
O07,E11,150,Cpd285
O08,J15,150,Cpd286
O09,M09,150,Cpd287
O10,O18,150,Cpd288
O11,G17,150,Cpd289
O12,N10,150,Cpd290
O13,C23,150,Cpd291
O14,E08,150,Cpd292
O15,N01,150,Cpd293
O16,B23,150,Cpd294
O17,H03,150,Cpd295
O18,C02,150,Cpd296
O19,B14,150,Cpd297
O20,F16,150,Cpd298
O21,E13,150,Cpd299
O22,P13,150,Cpd300
O23,I05,150,JUMP8_rep3
O24,O17,150,DMSO
P01,F14,150,JUMP8_rep2
P02,P06,150,DMSO
P03,O02,150,Cpd301
P04,N18,150,Cpd302
P05,L07,150,Cpd303
P06,I17,150,Cpd304
P07,P01,150,Cpd305
P08,D07,150,Cpd306
P09,P10,150,Cpd307
P10,J01,150,Cpd308
P11,P04,150,Cpd309
P12,H19,150,Cpd310
P13,I08,150,Cpd311
P14,P08,150,Cpd312
P15,E12,150,Cpd313
P16,G10,150,Cpd314
P17,N16,150,Cpd315
P18,I06,150,Cpd316
P19,A16,150,Cpd317
P20,K15,150,Cpd318
P21,L20,150,Cpd319
P22,L12,150,Cpd320
P23,N04,150,JUMP8_rep4
P24,P22,150,DMSO
