Source Well,Dest Well,Volume,Compound
A01,I02,150,JUMP1_rep1
A02,A15,150,DMSO
A03,D17,150,Cpd1
A04,K03,150,Cpd2
A05,N24,150,Cpd3
A06,H15,150,Cpd4
A07,D03,150,Cpd5
A08,G04,150,Cpd6
A09,C22,150,Cpd7
A10,J11,150,Cpd8
A11,L04,150,Cpd9
A12,L02,150,Cpd10
A13,E20,150,Cpd11
A14,D10,150,Cpd12
A15,O23,150,Cpd13
A16,D02,150,Cpd14
A17,H23,150,Cpd15
A18,I22,150,Cpd16
A19,D16,150,Cpd17
A20,B24,150,Cpd18
A21,K16,150,Cpd19
A22,A19,150,Cpd20
A23,P11,150,JUMP1_rep3
A24,A23,150,DMSO
B01,O09,150,JUMP1_rep2
B02,B09,150,DMSO
B03,O07,150,Cpd21
B04,A12,150,Cpd22
B05,M04,150,Cpd23
B06,B08,150,Cpd24
B07,L05,150,Cpd25
B08,K20,150,Cpd26
B09,C24,150,Cpd27
B10,E24,150,Cpd28
B11,I18,150,Cpd29
B12,K24,150,Cpd30
B13,A03,150,Cpd31
B14,C21,150,Cpd32
B15,H04,150,Cpd33
B16,O20,150,Cpd34
B17,E06,150,Cpd35
B18,M16,150,Cpd36
B19,C05,150,Cpd37
B20,L14,150,Cpd38
B21,K23,150,Cpd39
B22,C16,150,Cpd40
B23,P18,150,JUMP1_rep4
B24,B13,150,DMSO
C01,B16,150,JUMP2_rep1
C02,C15,150,DMSO
C03,L01,150,Cpd41
C04,B20,150,Cpd42
C05,F21,150,Cpd43
C06,O04,150,Cpd44
C07,M17,150,Cpd45
C08,N21,150,Cpd46
C09,J18,150,Cpd47
C10,N11,150,Cpd48
C11,E23,150,Cpd49
C12,F24,150,Cpd50
C13,F09,150,Cpd51
C14,M20,150,Cpd52
C15,J13,150,Cpd53
C16,I23,150,Cpd54
C17,F18,150,Cpd55
C18,B22,150,Cpd56
C19,D14,150,Cpd57
C20,D04,150,Cpd58
C21,B03,150,Cpd59
C22,F03,150,Cpd60
C23,F20,150,JUMP2_rep3
C24,C20,150,DMSO
D01,C07,150,JUMP2_rep2
D02,D18,150,DMSO
D03,E07,150,Cpd61
D04,E09,150,Cpd62
D05,A13,150,Cpd63
D06,F13,150,Cpd64
D07,O03,150,Cpd65
D08,J02,150,Cpd66
D09,J22,150,Cpd67
D10,N19,150,Cpd68
D11,D22,150,Cpd69
D12,N02,150,Cpd70
D13,N07,150,Cpd71
D14,P02,150,Cpd72
D15,N13,150,Cpd73
D16,N17,150,Cpd74
D17,H05,150,Cpd75
D18,L13,150,Cpd76
D19,L21,150,Cpd77
D20,F06,150,Cpd78
D21,N03,150,Cpd79
D22,C06,150,Cpd80
D23,L03,150,JUMP2_rep4
D24,D23,150,DMSO
E01,G24,150,JUMP3_rep1
E02,E02,150,DMSO
E03,B18,150,Cpd81
E04,C03,150,Cpd82
E05,B11,150,Cpd83
E06,C09,150,Cpd84
E07,M13,150,Cpd85
E08,K21,150,Cpd86
E09,L24,150,Cpd87
E10,O06,150,Cpd88
E11,K08,150,Cpd89
E12,P03,150,Cpd90
E13,F04,150,Cpd91
E14,K05,150,Cpd92
E15,A02,150,Cpd93
E16,J04,150,Cpd94
E17,J06,150,Cpd95
E18,A17,150,Cpd96
E19,P17,150,Cpd97
E20,I12,150,Cpd98
E21,P12,150,Cpd99
E22,E16,150,Cpd100
E23,N23,150,JUMP3_rep3
E24,E10,150,DMSO
F01,M15,150,JUMP3_rep2
F02,F07,150,DMSO
F03,D01,150,Cpd101
F04,H18,150,Cpd102
F05,D21,150,Cpd103
F06,K06,150,Cpd104
F07,B17,150,Cpd105
F08,K09,150,Cpd106
F09,K01,150,Cpd107
F10,A05,150,Cpd108
F11,F11,150,Cpd109
F12,M08,150,Cpd110
F13,J09,150,Cpd111
F14,F01,150,Cpd112
F15,E17,150,Cpd113
F16,P16,150,Cpd114
F17,P19,150,Cpd115
F18,C19,150,Cpd116
F19,N09,150,Cpd117
F20,N05,150,Cpd118
F21,H12,150,Cpd119
F22,M19,150,Cpd120
F23,O21,150,JUMP3_rep4
F24,F12,150,DMSO
G01,A01,150,JUMP4_rep1
G02,G03,150,DMSO
G03,J12,150,Cpd121
G04,M22,150,Cpd122
G05,I04,150,Cpd123
G06,A04,150,Cpd124
G07,L23,150,Cpd125
G08,N08,150,Cpd126
G09,J24,150,Cpd127
G10,F15,150,Cpd128
G11,A07,150,Cpd129
G12,G07,150,Cpd130
G13,A22,150,Cpd131
G14,H24,150,Cpd132
G15,B02,150,Cpd133
G16,H20,150,Cpd134
G17,I03,150,Cpd135
G18,O24,150,Cpd136
G19,B21,150,Cpd137
G20,M23,150,Cpd138
G21,L18,150,Cpd139
G22,H08,150,Cpd140
G23,J03,150,JUMP4_rep3
G24,G05,150,DMSO
H01,H06,150,JUMP4_rep2
H02,H11,150,DMSO
H03,F19,150,Cpd141
H04,N22,150,Cpd142
H05,A09,150,Cpd143
H06,M11,150,Cpd144
H07,G09,150,Cpd145
H08,G22,150,Cpd146
H09,C17,150,Cpd147
H10,I14,150,Cpd148
H11,N06,150,Cpd149
H12,L10,150,Cpd150
H13,I09,150,Cpd151
H14,M03,150,Cpd152
H15,J08,150,Cpd153
H16,G23,150,Cpd154
H17,D09,150,Cpd155
H18,D19,150,Cpd156
H19,O05,150,Cpd157
H20,H02,150,Cpd158
H21,P15,150,Cpd159
H22,K22,150,Cpd160
H23,K18,150,JUMP4_rep4
H24,H21,150,DMSO
I01,B04,150,JUMP5_rep1
I02,I16,150,DMSO
I03,E14,150,Cpd161
I04,O10,150,Cpd162
I05,C13,150,Cpd163
I06,B12,150,Cpd164
I07,H07,150,Cpd165
I08,P20,150,Cpd166
I09,E04,150,Cpd167
I10,O15,150,Cpd168
I11,A14,150,Cpd169
I12,E05,150,Cpd170
I13,A11,150,Cpd171
I14,O22,150,Cpd172
I15,O14,150,Cpd173
I16,A24,150,Cpd174
I17,G18,150,Cpd175
I18,A10,150,Cpd176
I19,A18,150,Cpd177
I20,P05,150,Cpd178
I21,F22,150,Cpd179
I22,E03,150,Cpd180
I23,L17,150,JUMP5_rep3
I24,I24,150,DMSO
J01,C10,150,JUMP5_rep2
J02,J14,150,DMSO
J03,C18,150,Cpd181
J04,F17,150,Cpd182
J05,G02,150,Cpd183
J06,I19,150,Cpd184
J07,O12,150,Cpd185
J08,D15,150,Cpd186
J09,G14,150,Cpd187
J10,O19,150,Cpd188
J11,P07,150,Cpd189
J12,M01,150,Cpd190
J13,E15,150,Cpd191
J14,G21,150,Cpd192
J15,D12,150,Cpd193
J16,K12,150,Cpd194
J17,O13,150,Cpd195
J18,J20,150,Cpd196
J19,L11,150,Cpd197
J20,G20,150,Cpd198
J21,A21,150,Cpd199
J22,J23,150,Cpd200
J23,M21,150,JUMP5_rep4
J24,J19,150,DMSO
K01,D05,150,JUMP6_rep1
K02,K04,150,DMSO
K03,I11,150,Cpd201
K04,G12,150,Cpd202
K05,O08,150,Cpd203
K06,F02,150,Cpd204
K07,O11,150,Cpd205
K08,I07,150,Cpd206
K09,I21,150,Cpd207
K10,J21,150,Cpd208
K11,M02,150,Cpd209
K12,F05,150,Cpd210
K13,M24,150,Cpd211
K14,L16,150,Cpd212
K15,I01,150,Cpd213
K16,J16,150,Cpd214
K17,C01,150,Cpd215
K18,M07,150,Cpd216
K19,G15,150,Cpd217
K20,H22,150,Cpd218
K21,G13,150,Cpd219
K22,E18,150,Cpd220
K23,H17,150,JUMP6_rep3
K24,K11,150,DMSO
L01,E19,150,JUMP6_rep2
L02,L08,150,DMSO
L03,D06,150,Cpd221
L04,I10,150,Cpd222
L05,D20,150,Cpd223
L06,H13,150,Cpd224
L07,K17,150,Cpd225
L08,H09,150,Cpd226
L09,I15,150,Cpd227
L10,B10,150,Cpd228
L11,N15,150,Cpd229
L12,B01,150,Cpd230
L13,M05,150,Cpd231
L14,K07,150,Cpd232
