plateID,well,cmpdname,CONCuM,cmpdnum,VOLuL
plate_1,F15,comp95,95,comp95_95
plate_1,F16,DMSO,0,DMSO_0
plate_1,F17,comp239,239,comp239_239
plate_1,F18,comp14,14,comp14_14
plate_1,F19,comp186,186,comp186_186
plate_1,F20,comp1,1,comp1_1
plate_1,F21,comp188,188,comp188_188
plate_1,F22,comp248,248,comp248_248
plate_1,F23,comp213,213,comp213_213
plate_1,F24,comp314,314,comp314_314
plate_1,G01,comp237,237,comp237_237
plate_1,G02,DMSO,0,DMSO_0
plate_1,G03,comp275,275,comp275_275
plate_1,G04,comp62,62,comp62_62
plate_1,G05,comp182,182,comp182_182
plate_1,G06,comp174,174,comp174_174
plate_1,G07,DMSO,0,DMSO_0
plate_1,G08,comp317,317,comp317_317
plate_1,G09,comp178,178,comp178_178
plate_1,G10,comp318,318,comp318_318
plate_1,G11,comp315,315,comp315_315
plate_1,G12,comp80,80,comp80_80
plate_1,G13,ctrl6,1,ctrl6_1
plate_1,G14,comp299,299,comp299_299
plate_1,G15,comp112,112,comp112_112
plate_1,G16,comp295,295,comp295_295
plate_1,G17,comp316,316,comp316_316
plate_1,G18,comp138,138,comp138_138
plate_1,G19,ctrl3,1,ctrl3_1
plate_1,G20,comp292,292,comp292_292
plate_1,G21,comp288,288,comp288_288
plate_1,G22,comp319,319,comp319_319
plate_1,G23,comp320,320,comp320_320
plate_1,G24,comp209,209,comp209_209
plate_1,H01,comp267,267,comp267_267
plate_1,H02,comp308,308,comp308_308
plate_1,H03,comp61,61,comp61_61
plate_1,H04,ctrl1,1,ctrl1_1
plate_1,H05,comp290,290,comp290_290
plate_1,H06,comp45,45,comp45_45
plate_1,H07,comp163,163,comp163_163
plate_1,H08,comp185,185,comp185_185
plate_1,H09,comp108,108,comp108_108
plate_1,H10,comp269,269,comp269_269
plate_1,H11,ctrl6,1,ctrl6_1
plate_1,H12,comp117,117,comp117_117
plate_1,H13,comp19,19,comp19_19
plate_1,H14,comp225,225,comp225_225
plate_1,H15,DMSO,0,DMSO_0
plate_1,H16,comp302,302,comp302_302
plate_1,H17,comp116,116,comp116_116
plate_1,H18,comp227,227,comp227_227
plate_1,H19,comp139,139,comp139_139
plate_1,H20,DMSO,0,DMSO_0
plate_1,H21,comp49,49,comp49_49
plate_1,H22,comp60,60,comp60_60
plate_1,H23,comp153,153,comp153_153
