Source Well,Dest Well,Volume,Compound
K20,,150,Cpd218
K21,,150,Cpd219
K22,,150,Cpd220
K23,,150,JUMP6_rep3
K24,,150,DMSO
L01,,150,JUMP6_rep2
L02,,150,DMSO
L03,,150,Cpd221
L04,,150,Cpd222
L05,,150,Cpd223
L06,,150,Cpd224
L07,,150,Cpd225
L08,,150,Cpd226
L09,,150,Cpd227
L10,,150,Cpd228
L11,,150,Cpd229
L12,,150,Cpd230
L13,,150,Cpd231
L14,,150,Cpd232
L15,,150,Cpd233
L16,,150,Cpd234
L17,,150,Cpd235
L18,,150,Cpd236
L19,,150,Cpd237
L20,,150,Cpd238
L21,,150,Cpd239
L22,,150,Cpd240
L23,,150,JUMP6_rep4
L24,,150,DMSO
M01,,150,JUMP7_rep1
M02,,150,DMSO
M03,,150,Cpd241
M04,,150,Cpd242
M05,,150,Cpd243
M06,,150,Cpd244
M07,,150,Cpd245
M08,,150,Cpd246
M09,,150,Cpd247
M10,,150,Cpd248
M11,,150,Cpd249
M12,,150,Cpd250
M13,,150,Cpd251
M14,,150,Cpd252
M15,,150,Cpd253
M16,,150,Cpd254
M17,,150,Cpd255
M18,,150,Cpd256
M19,,150,Cpd257
M20,,150,Cpd258
M21,,150,Cpd259
M22,,150,Cpd260
M23,,150,JUMP7_rep3
M24,,150,DMSO
N01,,150,JUMP7_rep2
N02,,150,DMSO
N03,,150,Cpd261
N04,,150,Cpd262
N05,,150,Cpd263
N06,,150,Cpd264
N07,,150,Cpd265
N08,,150,Cpd266
N09,,150,Cpd267
N10,,150,Cpd268
N11,,150,Cpd269
N12,,150,Cpd270
N13,,150,Cpd271
N14,,150,Cpd272
N15,,150,Cpd273
N16,,150,Cpd274
N17,,150,Cpd275
N18,,150,Cpd276
N19,,150,Cpd277
N20,,150,Cpd278
N21,,150,Cpd279
N22,,150,Cpd280
N23,,150,JUMP7_rep4
N24,,150,DMSO
O01,,150,JUMP8_rep1
O02,,150,DMSO
O03,,150,Cpd281
O04,,150,Cpd282
O05,,150,Cpd283
O06,,150,Cpd284
O07,,150,Cpd285
O08,,150,Cpd286
O09,,150,Cpd287
O10,,150,Cpd288
O11,,150,Cpd289
O12,,150,Cpd290
O13,,150,Cpd291
O14,,150,Cpd292
O15,,150,Cpd293
O16,,150,Cpd294
O17,,150,Cpd295
O18,,150,Cpd296
O19,,150,Cpd297
O20,,150,Cpd298
O21,,150,Cpd299
O22,,150,Cpd300
O23,,150,JUMP8_rep3
O24,,150,DMSO
P01,,150,JUMP8_rep2
P02,,150,DMSO
P03,,150,Cpd301
P04,,150,Cpd302
P05,,150,Cpd303
P06,,150,Cpd304
P07,,150,Cpd305
P08,,150,Cpd306
P09,,150,Cpd307
P10,,150,Cpd308
P11,,150,Cpd309
P12,,150,Cpd310
P13,,150,Cpd311
P14,,150,Cpd312
P15,,150,Cpd313
P16,,150,Cpd314
P17,,150,Cpd315
P18,,150,Cpd316
P19,,150,Cpd317
P20,,150,Cpd318
P21,,150,Cpd319
P22,,150,Cpd320
P23,,150,JUMP8_rep4
P24,,150,DMSO
